rxn	LB	UB
HMR_0154	0	242.14285714285717
HMR_0189	0	238.14285714285717
HMR_0193	0	238.14285714285717
HMR_0197	0	238.14285714285717
HMR_0201	0	238.14285714285717
HMR_0206	0	238.14285714285717
HMR_0210	0	238.14285714285717
HMR_0214	0	238.14285714285717
HMR_0223	0	238.14285714285717
HMR_0230	0	238.14285714285717
HMR_0234	0	238.14285714285717
HMR_0242	0	238.14285714285717
HMR_0246	0	238.14285714285717
HMR_0250	0	238.14285714285717
HMR_0256	0	238.14285714285717
HMR_0260	0	238.14285714285717
HMR_0264	0	238.14285714285717
HMR_0268	0	238.14285714285717
HMR_0272	0	238.14285714285717
HMR_0276	0	238.14285714285717
HMR_0280	0	238.14285714285717
HMR_0284	0	238.14285714285717
HMR_0290	0	238.14285714285717
HMR_0294	0	238.14285714285717
HMR_0298	0	238.14285714285717
HMR_0302	0	238.14285714285717
HMR_0306	0	238.14285714285717
HMR_0310	0	238.14285714285717
HMR_0314	0	238.14285714285717
HMR_0320	0	238.14285714285717
HMR_0324	0	238.14285714285717
HMR_0328	0	238.14285714285717
HMR_0332	0	238.14285714285717
HMR_0338	0	238.14285714285717
HMR_0342	0	238.14285714285717
HMR_0346	0	238.14285714285717
HMR_0350	0	238.14285714285717
HMR_0354	0	238.14285714285717
HMR_0358	0	238.14285714285717
HMR_0362	0	238.14285714285717
HMR_0366	0	238.14285714285717
HMR_0370	0	238.14285714285717
HMR_0374	0	238.14285714285717
HMR_0378	0	238.14285714285717
HMR_0382	0	238.14285714285717
HMR_0386	0	238.14285714285717
HMR_0390	0	238.14285714285717
HMR_0394	0	238.14285714285717
HMR_0398	0	238.14285714285717
HMR_0402	0	238.14285714285717
HMR_0406	0	238.14285714285717
HMR_0410	0	238.14285714285717
HMR_0414	0	238.14285714285717
HMR_0418	0	238.14285714285717
HMR_0422	0	238.14285714285717
HMR_0426	0	238.14285714285717
HMR_0430	0	238.14285714285717
HMR_0434	0	238.14285714285717
HMR_0438	0	238.14285714285717
HMR_3009	0	238.14285714285717
HMR_3475	0	10
HMR_3477	0	1000
HMR_0001	0	210.8571428571429
HMR_0002	0	9.285714285714286
HMR_0003	0	903.5714285714286
HMR_0005	0	93.71428571428572
HMR_0604	0	27.571428571428573
HMR_0605	0	178.42857142857144
HMR_0665	0	903.5714285714286
HMR_0667	0	903.5714285714286
HMR_0668	0	903.5714285714286
HMR_0669	0	903.5714285714286
HMR_0670	0	903.5714285714286
HMR_0671	0	903.5714285714286
HMR_0672	0	903.5714285714286
HMR_0679	0	93.71428571428572
HMR_0680	0	93.71428571428572
HMR_0681	0	93.71428571428572
HMR_0682	0	93.71428571428572
HMR_0683	0	93.71428571428572
HMR_7588	0	18.428571428571427
AGTix	0	92.71428571428571
ARGSS	0	1368
ASPTAm	-186.42857142857142	186.42857142857142
NACASPAH	0	42.57142857142857
RE2031M	-23.428571428571427	23.428571428571427
ALAR	-51.142857142857146	51.142857142857146
ASPTA	-136.85714285714286	136.85714285714286
r0127	0	43.42857142857143
ARGSL	-363.2857142857143	363.2857142857143
HMR_9897	0	2.7142857142857144
HMR_9899	0	2.7142857142857144
HMR_3802	-422.85714285714283	422.85714285714283
HMR_3804	-422.85714285714283	422.85714285714283
HMR_3811	0	1368
HMR_3831	0	246.71428571428572
HMR_3862	0	47.142857142857146
HMR_3865	0	186.42857142857142
HMR_3873	0	1028
HMR_8654	0	1028
HMR_3890	0	522.2857142857143
HMR_3892	0	5.857142857142857
HMR_9802	0	133.85714285714286
HMR_3899	-84.42857142857143	84.42857142857143
HMR_3903	0	4.714285714285714
HMR_4109	-140.85714285714286	140.85714285714286
HMR_4114	0	96
HMR_4115	0	96
HMR_4172	0	47.142857142857146
HMR_4196	0	44.285714285714285
HMR_4197	0	44.285714285714285
HMR_4285	0	12.714285714285714
