rxn	LB	UB
HMR_biomass_Renalcancer(with ATP)	0	1000
HMR_6396	0	58.75
HMR_3526	0	58.25
HMR_3527	0	523.25
HMR_3278	0	680.5
HMR_3288	0	657.25
HMR_3293	0	1028.25
HMR_3294	0	758.5
HMR_3296	0	250.75
HMR_3298	-361.0	361.0
HMR_3301	0	1282.25
HMR_3302	0	181.75
HMR_3306	0	1282.25
HMR_3307	0	181.75
HMR_3311	0	1282.25
HMR_3312	0	181.75
HMR_3316	0	542.75
HMR_3317	0	181.75
HMR_3320	0	100
HMR_3321	0	1282.25
HMR_3322	0	250.75
HMR_3323	-542.75	542.75
HMR_3107	0	758.5
HMR_3108	0	398.25
HMR_3109	0	680.5
HMR_3110	0	1028.25
HMR_3111	0	758.5
HMR_3112	0	398.25
HMR_3113	0	680.5
HMR_3114	0	1028.25
HMR_3115	0	758.5
HMR_3116	0	398.25
HMR_3117	0	680.5
HMR_3118	0	1028.25
HMR_3121	0	758.5
HMR_3122	0	398.25
HMR_3123	0	680.5
HMR_3125	0	1028.25
HMR_3128	0	758.5
HMR_3129	0	398.25
HMR_3130	0	680.5
HMR_3132	0	1028.25
HMR_3135	0	758.5
HMR_3136	0	398.25
HMR_3137	0	680.5
HMR_3139	0	1028.25
HMR_3142	0	394.5
HMR_3143	0	398.25
HMR_3144	0	680.5
HMR_3146	0	1028.25
HMR_3149	0	394.5
HMR_3150	0	398.25
HMR_3151	0	680.5
HMR_3153	0	1028.25
HMR_3156	0	171
HMR_3157	0	398.25
HMR_3158	0	680.5
HMR_3160	0	1028.25
HMR_3398	0	2520.5
HMR_3406	0	2520.5
HMR_3407	0	2520.5
HMR_3408	0	2520.5
HMR_3409	0	2520.5
HMR_3411	0	2520.5
HMR_3413	0	2520.5
HMR_3414	0	2520.5
HMR_3416	0	2520.5
HMR_3421	0	2520.5
HMR_3422	0	2520.5
HMR_3423	0	2520.5
HMR_3424	0	2520.5
HMR_3425	0	2520.5
HMR_3426	0	2520.5
HMR_9719	0	2520.5
HMR_3427	0	2520.5
HMR_3428	0	2520.5
HMR_3429	0	2520.5
HMR_3430	0	2520.5
HMR_3431	0	2520.5
HMR_3432	0	2520.5
HMR_3433	0	2520.5
HMR_3057	0	1282.25
HMR_3058	0	181.75
HMR_3059	0	472.0
HMR_3060	0	100
HMR_3062	0	1282.25
HMR_3063	0	181.75
HMR_3064	0	472.0
HMR_3065	0	100
HMR_3066	0	1282.25
HMR_3067	0	181.75
HMR_3068	0	472.0
HMR_3069	0	100
HMR_3070	0	1282.25
HMR_3071	0	181.75
HMR_3072	0	472.0
HMR_3073	0	100
HMR_3074	0	1282.25
HMR_3075	0	181.75
HMR_3076	0	472.0
HMR_3077	0	100
HMR_3078	0	1282.25
HMR_3079	0	181.75
HMR_3080	0	472.0
HMR_3081	0	100
HMR_3082	0	1282.25
HMR_3083	0	181.75
HMR_3084	0	472.0
HMR_3085	0	100
HMR_3086	0	1282.25
HMR_3087	0	181.75
HMR_3088	0	472.0
HMR_3089	0	100
HMR_3090	0	1282.25
HMR_3091	0	181.75
HMR_3092	0	472.0
HMR_3093	0	100
HMR_3094	0	1282.25
HMR_3095	0	181.75
HMR_3096	0	472.0
HMR_3097	0	100
HMR_3098	0	1282.25
HMR_3099	0	181.75
HMR_3100	0	472.0
HMR_3101	0	100
HMR_3102	0	1282.25
HMR_3103	0	181.75
HMR_3104	0	472.0
HMR_3170	0	758.5
HMR_3171	0	398.25
HMR_3172	0	680.5
HMR_3173	0	1028.25
HMR_3174	0	758.5
HMR_3175	0	398.25
HMR_3176	0	680.5
HMR_3177	0	1028.25
HMR_3178	0	758.5
HMR_3179	0	398.25
HMR_3180	0	680.5
HMR_3181	0	1028.25
HMR_3182	0	758.5
HMR_3183	0	398.25
HMR_3184	0	680.5
HMR_3185	0	1028.25
HMR_3186	0	758.5
HMR_3187	0	398.25
HMR_3188	0	680.5
HMR_3189	0	1028.25
HMR_3190	0	394.5
HMR_3191	0	398.25
HMR_3192	0	680.5
HMR_3193	0	1028.25
HMR_3194	0	394.5
HMR_3195	0	398.25
HMR_3196	0	680.5
HMR_3197	0	1028.25
HMR_3198	0	394.5
HMR_3199	0	398.25
HMR_3200	0	680.5
HMR_3201	0	1028.25
HMR_3202	0	171
HMR_3203	0	398.25
HMR_3204	0	680.5
HMR_3205	0	1028.25
HMR_3480	-1059.75	1059.75
HMR_3482	-1059.75	1059.75
HMR_3484	0	1559.5
HMR_3486	0	206.75
HMR_3488	0	1559.5
HMR_3489	-1736.25	1736.25
HMR_3491	-58.25	58.25
HMR_3493	-1059.75	1059.75
HMR_3498	0	1282.25
HMR_3501	0	181.75
HMR_3505	0	100
HMR_3506	0	1282.25
HMR_3508	0	181.75
HMR_3511	0	58.25
HMR_3512	0	1282.25
HMR_3513	0	181.75
HMR_3240	0	758.5
HMR_3241	0	398.25
HMR_3242	0	680.5
HMR_3243	0	1028.25
HMR_3244	0	758.5
HMR_3245	0	398.25
HMR_3246	0	680.5
HMR_3247	0	1028.25
HMR_3254	0	680.5
HMR_3256	0	1028.25
HMR_3258	0	758.5
HMR_3260	0	398.25
HMR_3262	0	680.5
HMR_3264	0	1028.25
HMR_3272	-657.25	657.25
HMR_3356	0	1282.25
HMR_3357	0	181.75
HMR_3358	0	472.0
HMR_3359	0	100
HMR_3360	0	1282.25
HMR_3361	0	181.75
HMR_3362	0	472.0
HMR_3363	0	100
HMR_3218	0	758.5
HMR_3219	0	398.25
HMR_3220	0	680.5
HMR_3221	0	1028.25
